lat,lon
24.9053,67.0483
24.9046,67.0479
24.9047,67.0475
24.9044,67.0473
24.9038,67.0469
24.9036,67.0469
24.9029,67.0464
24.9027,67.0463
24.9025,67.0462
24.9024,67.0462
24.901,67.0453
24.9007,67.0451
24.9003,67.0449
24.9002,67.0449
24.9,67.0448
24.9,67.0448
24.8998,67.0448
24.8989,67.0447
24.8979,67.0446
24.8977,67.0444
24.8969,67.0443
24.8966,67.0443
24.8964,67.0442
24.8961,67.0442
24.8957,67.0442
24.8946,67.044
24.8939,67.0439
24.8938,67.0439
24.8927,67.0437
24.8925,67.0437
24.8922,67.0436
24.892,67.0436
24.892,67.0435
24.8915,67.0433
24.8913,67.0433
24.8912,67.0432
24.891,67.0432
24.8909,67.0431
24.8908,67.0431
24.8907,67.043
24.8902,67.0429
24.8901,67.0428
24.8899,67.0428
24.8898,67.0427
24.8896,67.0426
24.8895,67.0426
24.8893,67.0425
24.8892,67.0425
24.889,67.0424
24.8889,67.0424
24.8886,67.0423
24.8886,67.0422
24.8886,67.0422
24.8883,67.0421
24.8876,67.0418
24.8875,67.0418
24.8867,67.0415
24.8855,67.041
24.885,67.0408
24.8844,67.0406
24.8839,67.0404
24.8831,67.0401
24.883,67.0401
24.8826,67.0399
24.8825,67.0399
24.8825,67.0399
24.8816,67.0395
24.8811,67.0393
24.8811,67.0393
24.8807,67.0392
24.8805,67.0391
24.8804,67.0391
24.8804,67.0391
24.8802,67.039
24.8801,67.0391
24.8798,67.0391
24.8796,67.0391
24.8796,67.0391
24.8794,67.0391
24.8791,67.0389
24.8789,67.0388
24.8786,67.0387
24.8779,67.0384
24.8776,67.0382
24.8774,67.0381
24.8772,67.038
24.8771,67.038
24.8771,67.038
24.8771,67.038
24.877,67.038
24.877,67.0381
24.877,67.0381
24.877,67.0382
24.8769,67.0381
24.8768,67.038
24.8767,67.038
24.8767,67.038
24.8766,67.0379
24.8757,67.0375
24.875,67.0372
24.8742,67.0369
24.8737,67.0366
24.8735,67.0365
24.8734,67.0364
24.873,67.0362
24.8726,67.036
24.8726,67.0359
24.8724,67.0358
24.8722,67.0357
24.8717,67.0353
24.8717,67.0353
24.8716,67.0353
24.8716,67.0352
24.8715,67.0351
24.8708,67.0341
24.8706,67.0337
24.8704,67.0335
24.8699,67.0327
24.8698,67.0327
24.8683,67.0304
24.868,67.03
24.8676,67.0302
24.8675,67.0302
24.8672,67.0304
24.867,67.0305
24.8667,67.0307
24.8662,67.0309
24.8655,67.0313
24.8649,67.0316
24.8649,67.0316
24.8647,67.0317
24.8644,67.0313
24.864,67.0308
24.8638,67.0306
24.8635,67.0302
24.863,67.0305
24.8625,67.0307
24.8624,67.0308
24.8623,67.0309
24.8622,67.031
24.8616,67.0312
24.8614,67.0313
